Número,Título,Temas Relacionados,Textos Relacionados,Link do Vídeo,Texto Base,Categoria,Subcategoria,Autor da Letra,Autor da Música
467,Até Quando?,Graça e Salvação | Igreja e Comunhão | Lar e Família | Oração e Comunhão | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 133:1; Hebreus 10:25,https://www.youtube.com/watch?v=PHRLFJoaIXQ,Apocalipse 6:10,A Doutrina dos Últimos Eventos,A Segunda Vinda de Cristo,Jader D. Santos,Jader D. Santos
468,Quase no Lar,Adoração e Louvor | Graça e Salvação | Lar e Família | Missão e Serviço | Oração e Comunhão | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=pmHkUUEsbPM,Romanos 13:11,A Doutrina dos Últimos Eventos,A Segunda Vinda de Cristo,Jader D. Santos,Jader D. Santos
469,Enquanto Ele Não Vem,Lar e Família | Oração e Comunhão | Palavra de Deus e Lei | Sacrifício e Redenção | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7,https://www.youtube.com/watch?v=3AFtQj-ZbXU,Hebreus 10:23-25,A Doutrina dos Últimos Eventos,A Segunda Vinda de Cristo,Jader D. Santos,Jader D. Santos
470,Rocha Eterna,"Adoração e Louvor | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=GAEJzMMk2WQ,Isaías 26:4,A Doutrina dos Últimos Eventos,Morte e Ressurreição,Augustus M. Toplady,Thomas Hastings
471,Porque Ele Vive,Crianças e Jovens | Graça e Salvação | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 19:14; Provérbios 22:6,https://www.youtube.com/watch?v=0doKHQReQH4,João 14:19,A Doutrina dos Últimos Eventos,Morte e Ressurreição,"Gloria Gaither, William J. Gaither",William J. Gaither
472,"Ó Alegrai-vos, Filhos De Sião",Adoração e Louvor | Crianças e Jovens | Lar e Família | Sacrifício e Redenção,Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=TmkQmQ04aQk,1 Coríntios 15:54-57,A Doutrina dos Últimos Eventos,Morte e Ressurreição,Edmond L. Budry,Georg F. Händel
473,Morte e Ressurreição,Adoração e Louvor | Oração e Comunhão | Palavra de Deus e Lei | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=3eJVVZc_Dss,João 11:25,A Doutrina dos Últimos Eventos,Morte e Ressurreição,Mário Jorge Lima,Clayton A. Nunes
474,Eu Espero,Sacrifício e Redenção | Segunda Vinda e Esperança | Sábado e Criação,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=JgMloBodNr0,"1 Coríntios 15:51, 52",A Doutrina dos Últimos Eventos,Morte e Ressurreição,Guilherme Schlichting,Guilherme Schlichting
475,Se Não Houver Amanhã,Graça e Salvação | Lar e Família | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=7Kszrnmsozg,Eclesiastes 9:5,A Doutrina dos Últimos Eventos,Morte e Ressurreição,Jair Alberto da Silva,Jair Alberto da Silva
476,Hei de Ver,"Adoração e Louvor | Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=varJ50douf4,1 Tessalonicenses 4:16-18,A Doutrina dos Últimos Eventos,Morte e Ressurreição,Eddie Schultz Henrique,Eddie Schultz Henrique
477,Face a Face,Adoração e Louvor | Graça e Salvação | Lar e Família | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=4zeJehRh790,1 Coríntios 13:12,A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Carrie E. Breck,Grant C. Tullar
478,"Sim, Glória Haverá No Final",Adoração e Louvor | Graça e Salvação | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=49eMmsTDmgQ,Isaías 65:17-19,A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Franklin E. Belden,Franklin E. Belden
479,Herdeiro Do Reino,Adoração e Louvor | Crianças e Jovens | Lar e Família,Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=1p34cF7xJo0,Romanos 13:11,A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Desconhecido,Lowell Mason
480,O Eterno Lar,"Graça e Salvação | Igreja e Comunhão | Lar e Família | Paz, Cuidado e Confiança | Segunda Vinda e Esperança | Sábado e Criação",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 133:1; Hebreus 10:25 | Salmos 23:1-4; João 14:27; Salmos 46:1 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=COAEdwOHpn0,Hebreus 10:35-37,A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Eliza E. Hewitt,Eliza E. Hewitt
481,No Celeste Lar Glorioso,"Adoração e Louvor | Lar e Família | Paz, Cuidado e Confiança",Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=x7wEQ7q-_xM,Apocalipse 21:9-27,A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Philip P. Bliss,Philip P. Bliss
482,Junto ao Rio Jordão,Graça e Salvação | Lar e Família | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=kn0zFi5orMU,Isaías 65:17-19,A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Samuel Stennett,Tulius C. O’Kane
483,Vamos Ver Jesus Ali,"Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=US64k5we5s0,"Mateus 25:31, 34",A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Lewis E. Jones,Lewis E. Jones
484,Além do Céu Azul,Lar e Família | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=e6n44rxIuME,João 14:1-3,A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Alfred B. Smith,Alfred B. Smith
485,Estrelas Terei,"Adoração e Louvor | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=_o3lA-GuZdI,Daniel 12:3,A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Eliza E. Hewitt,John R. Sweney
486,Até Então,Lar e Família | Oração e Comunhão | Sacrifício e Redenção | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=EmNa2mC1REU,Apocalipse 21:1-4,A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Carl S. Hamblen,Carl S. Hamblen
487,Primeiro Quero Ver Meu Salvador,Adoração e Louvor | Graça e Salvação | Lar e Família,Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=szamXjWAEso,Isaías 25:9,A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,John W. Peterson,John W. Peterson
488,Eu vou para o Céu,Adoração e Louvor | Lar e Família | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=_xNrYww0OBY,"Mateus 24:7, 14",A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Evaldo Vicente,Evaldo Vicente
489,Cristo Foi Preparar Um Lugar,"Adoração e Louvor | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Segunda Vinda e Esperança | Sábado e Criação",1 Tessalonicenses 4:16-17; Apocalipse 1:7| Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=jAxb3hDo4x8,João 14:1-3,A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Dewitt C. Huntington,Tulius C. O’Kane
490,Tão Grato Me é Lembrar,"Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Segunda Vinda e Esperança | Sábado e Criação",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=8A0dsuOgLyg,Hebreus 10:35-37,A Doutrina dos Últimos Eventos,O Milênio e o Fim do Pecado,Phoebe Cary,Phillip Phillips
491,Há um Rio Cristalino,Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=Co7KPOxg-5k,Apocalipse 22:1,A Doutrina dos Últimos Eventos,A Nova Terra,Robert Lowry,Robert Lowry
492,Lar Feliz,Lar e Família | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=V4Ve-KPG6mQ,João 14:1-3,A Doutrina dos Últimos Eventos,A Nova Terra,Sanford F. Bennett,Joseph P. Webster
493,Almejo o Lar,"Crianças e Jovens | Lar e Família | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=ddjCguUcCU4,Apocalipse 21:1-4,A Doutrina dos Últimos Eventos,A Nova Terra,Friedrich K. von Gerok,Josephine Lang
494,Doce Lar,"Adoração e Louvor | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=ILf6xg2sqhQ,Mateus 25:34,A Doutrina dos Últimos Eventos,A Nova Terra,William Hunter,Salvation Army Music– I
495,Glória Perene,"Adoração e Louvor | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=yqvOpAcE_EE,Mateus 25:34,A Doutrina dos Últimos Eventos,A Nova Terra,Charles H. Gabriel,Charles H. Gabriel
496,Além do Rio,"Adoração e Louvor | Igreja e Comunhão | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=iAAbWePVmEo,"Salmo 46:4, 5",A Doutrina dos Últimos Eventos,A Nova Terra,Jader D. Santos,Jader D. Santos
497,Inda é Longe Canaã?,"Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=0d0q6B-BuUA,Deuteronômio 31:6-8,A Doutrina dos Últimos Eventos,A Nova Terra,George F. Root,George F. Root
498,Lindo País,"Lar e Família | Paz, Cuidado e Confiança | Sacrifício e Redenção",Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=OV4K75Rb-OI,Isaías 65:17-19,A Doutrina dos Últimos Eventos,A Nova Terra,João José de Oliveira,Melodia Tradicional Irlandesa
499,Mansão Sobre o Monte,Crianças e Jovens | Lar e Família | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6,https://www.youtube.com/watch?v=FZPXeVnQqYs,Isaías 11:6-9,A Doutrina dos Últimos Eventos,A Nova Terra,Ira F. Stanphill,Ira F. Stanphill
500,"Oh, Nunca Separar!",Lar e Família,Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=Ua3zsO9-2X8,"Apocalipse 21:3, 4",A Doutrina dos Últimos Eventos,A Nova Terra,Isaac Watts,Timbrel of Zion
501,Para Além das Montanhas,"Adoração e Louvor | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=FlHMYuWZK0g,Isaías 65:17-19,A Doutrina dos Últimos Eventos,A Nova Terra,Charles P. Whitford,John R. Sweney
502,Saudade,Crianças e Jovens | Lar e Família | Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6,https://www.youtube.com/watch?v=RduBykShWsE,"Isaías 65:17, 18",A Doutrina dos Últimos Eventos,A Nova Terra,Fanny J. Crosby,Stephen C. Foster
503,Vale Do Éden Formoso,Graça e Salvação | Lar e Família,Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=uGY2V-go_x4,Isaías 51:3,A Doutrina dos Últimos Eventos,A Nova Terra,William O. Cushing,William F. Sherwin
504,Mais Perto Desse Lar,Lar e Família | Palavra de Deus e Lei | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7| Josué 24:15; Efésios 6:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7,https://www.youtube.com/watch?v=JKzMvlzTQIs,João 14:1-3,A Doutrina dos Últimos Eventos,A Nova Terra,Níbia P. de Mayer,Níbia P. de Mayer
505,Muito Além do Sol,Adoração e Louvor | Graça e Salvação | Lar e Família,Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=D_tT_5jcnU0,1 Coríntios 2:9,A Doutrina dos Últimos Eventos,A Nova Terra,Emiliano Ponce,Emiliano Ponce
506,Eu Não Preciso Mais Sonhar,"Adoração e Louvor | Graça e Salvação | Igreja e Comunhão | Lar e Família | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=6X1wkIN-Cis,"Apocalipse 21:3, 4",A Doutrina dos Últimos Eventos,A Nova Terra,"Wanderson F. Paiva, Wendel Mattos",Wendel Mattos
507,Jamais se Diz Adeus Ali,"Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=kaM0Z4YIuTo,Isaías 65:17-19,A Doutrina dos Últimos Eventos,A Nova Terra,Azentia I. P. Chapman,John H. Tenney
508,Cristo Fez Tudo Muito Bom,Espírito Santo | Lar e Família | Palavra de Deus e Lei,Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7,https://www.youtube.com/watch?v=19pEqRVMq-I,Gênesis 1,Hinos Infantis,Infantis,Chuck Fulmore,Chuck Fulmore
509,A Criação,Sábado e Criação,Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=MVST2oE5nBE,Gênesis 1:1,Hinos Infantis,Infantis,Jonas Monteiro de Souza,Jonas Monteiro de Souza
510,Aquarela Do Senhor,Graça e Salvação,Efésios 2:8-9; João 3:16; 1 João 1:9,https://www.youtube.com/watch?v=X8hHMFhz2Pc,Gênesis 9:13,Hinos Infantis,Infantis,Jane Leitzke,Jane Leitzke
511,Eu Sou Uma Obra de Arte,Graça e Salvação | Missão e Serviço | Sábado e Criação,Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=-3419VrV8Vk,Salmo 8:4-6,Hinos Infantis,Infantis,Williams Costa Jr.,Williams Costa Jr.
512,Cada Dia,"Espírito Santo | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | João 14:16-17; Atos 2:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=geb2ugQWBis,Salmo 19:1-4,Hinos Infantis,Infantis,Valdecir Simões Lima,Flavio Almeida Santos
513,Ver Jesus Em Você,Crianças e Jovens | Sacrifício e Redenção,Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 19:14; Provérbios 22:6,https://www.youtube.com/watch?v=elh4QZ-Fij4,1 Coríntios 11:1,Hinos Infantis,Infantis,"Rogério Sathler, Eddie Schultz Henrique",Eddie Schultz Henrique
514,Fruto da Criação,Crianças e Jovens | Graça e Salvação | Lar e Família | Missão e Serviço | Oração e Comunhão | Sábado e Criação,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=2w8AGdqCM0s,Salmo 95:6,Hinos Infantis,Infantis,Jane Leitzke,Jane Leitzke
515,Sabe Quantas Estrelinhas?,Graça e Salvação,Efésios 2:8-9; João 3:16; 1 João 1:9,https://www.youtube.com/watch?v=wXIENxBI5mA,Isaías 40:26,Hinos Infantis,Infantis,Wilhelm Hey,Melodia Tradicional Alemã
516,Grande Artista,Adoração e Louvor | Graça e Salvação,Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=HjTn64jPYYQ,Salmo 134:3,Hinos Infantis,Infantis,Valdecir Simões Lima,Flavio Almeida Santos
517,Meu Deus É Tão Grande,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6,https://www.youtube.com/watch?v=mg2bP7sg-QM,"Salmo 24:1, 2",Hinos Infantis,Infantis,Desconhecido,Desconhecido
518,O Dia Em Que Deus Criou o Mundo,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6,https://www.youtube.com/watch?v=444SonCfdPE,Gênesis 1,Hinos Infantis,Infantis,Ariney Balthazar de Oliveira,Ariney Balthazar de Oliveira
519,O Amigo do Coração,"Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=ojukNBX0xRs,Provérbios 18:24,Hinos Infantis,Infantis,Sullivan Dutra,Sullivan Dutra
520,Cristo é o Número Um,Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6,https://www.youtube.com/watch?v=GqqgbpjsANo,Mateus 6:33,Hinos Infantis,Infantis,Jane Leitzke,Jane Leitzke
521,O Espírito Santo,"Adoração e Louvor | Espírito Santo | Paz, Cuidado e Confiança",João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=97vtuS9WXZc,João 16:13,Hinos Infantis,Infantis,Wanderson F. Paiva,Wanderson F. Paiva
522,Eu Quero Esse Poder,Adoração e Louvor | Crianças e Jovens | Espírito Santo | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | João 14:16-17; Atos 2:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=cjw0Xd-BcIg,Joel 2:28,Hinos Infantis,Infantis,Jane Leitzke,Jane Leitzke
523,"Sim, Cristo me Ama",Graça e Salvação | Lar e Família | Palavra de Deus e Lei | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7,https://www.youtube.com/watch?v=7lR9ngghlhs,João 15:9,Hinos Infantis,Infantis,Anna B. Warner,William B. Bradbury
524,Jesus Me Quer Bem,Graça e Salvação | Lar e Família | Oração e Comunhão | Palavra de Deus e Lei,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7,https://www.youtube.com/watch?v=qQz-1FXuAmk,João 15:9,Hinos Infantis,Infantis,Philip P. Bliss,Philip P. Bliss
525,Deus Sempre me Ama,Crianças e Jovens | Graça e Salvação,Efésios 2:8-9; 1 João 1:9 | Mateus 19:14; Provérbios 22:6,https://www.youtube.com/watch?v=fm8Jh_12bGs,João 3:16,Hinos Infantis,Infantis,August D. Rische,Melodia Tradicional Turingiana
526,Quem Orou Três Vezes?,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6,https://www.youtube.com/watch?v=yFMFvbRS0Mw,Daniel 6:10,Hinos Infantis,Infantis,Desconhecido,Negro Spiritual
527,Aonde Quer Que Eu Vá,"Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=h2_xAmV7XqA,Salmo 34:7,Hinos Infantis,Infantis,Jader D. Santos,Jader D. Santos
528,Quando Estou Com Medo,Adoração e Louvor,Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=vh79qX7CK0c,Salmo 84:12,Hinos Infantis,Infantis,Frank Hernandez,Frank Hernandez
529,Se Deus É Por Nós,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6,https://www.youtube.com/watch?v=Kzc35-5a-W0,Romanos 8:31,Hinos Infantis,Infantis,Sarah de Matos Bazan,Sarah de Matos Bazan
